,year,world,Africa,Asia,Europe,LatinAmerica,NorthAmerica,Austr/Oceania
0,1950,2525.78,228.83,1395.75,549.04,167.87,171.62,12.68
1,1951,2572.85,233.36,1425.76,554.24,172.40,174.09,13.00
2,1952,2619.29,238.15,1454.05,559.76,177.13,176.91,13.29
3,1953,2665.87,243.18,1481.62,565.44,182.04,180.00,13.58
4,1954,2713.17,248.46,1509.27,571.18,187.09,183.30,13.87
5,1955,2761.65,253.99,1537.57,576.91,192.27,186.74,14.17
6,1956,2811.57,259.76,1566.88,582.60,197.58,190.28,14.47
7,1957,2863.04,265.78,1597.35,588.25,203.02,193.86,14.79
8,1958,2916.03,272.04,1628.92,593.91,208.63,197.42,15.12
9,1959,2970.40,278.54,1661.41,599.65,214.43,200.93,15.45
10,1960,3026.00,285.27,1694.65,605.52,220.44,204.35,15.78
11,1961,3082.83,292.24,1728.62,611.54,226.68,207.65,16.10
12,1962,3141.07,299.45,1763.60,617.66,233.12,210.82,16.42
13,1963,3201.18,306.90,1800.23,623.72,239.72,213.84,16.76
14,1964,3263.74,314.61,1839.33,629.55,246.42,216.72,17.11
15,1965,3329.12,322.58,1881.42,635.00,253.15,219.47,17.49
16,1966,3397.48,330.83,1926.74,640.02,259.91,222.07,17.91
17,1967,3468.52,339.34,1974.95,644.65,266.70,224.53,18.35
18,1968,3541.68,348.13,2025.32,648.98,273.56,226.88,18.81
19,1969,3616.11,357.18,2076.82,653.18,280.51,229.17,19.25
20,1970,3691.17,366.48,2128.63,657.37,287.59,231.43,19.68
21,1971,3766.75,376.02,2180.61,661.57,294.80,233.67,20.08
22,1972,3842.87,385.84,2232.79,665.75,302.12,235.90,20.47
23,1973,3919.18,395.98,2284.82,669.86,309.56,238.14,20.83
24,1974,3995.31,406.49,2336.30,673.85,317.10,240.40,21.17
25,1975,4071.02,417.41,2387.02,677.66,324.75,242.69,21.49
26,1976,4146.14,428.77,2436.77,681.30,332.49,245.02,21.80
27,1977,4220.82,440.55,2485.68,684.78,340.32,247.41,22.08
28,1978,4295.67,452.76,2534.35,688.13,348.22,249.84,22.36
29,1979,4371.53,465.40,2583.63,691.37,356.17,252.31,22.65
30,1980,4449.05,478.46,2634.16,694.51,364.15,254.80,22.97
31,1981,4528.24,491.94,2685.98,697.55,372.14,257.32,23.31
32,1982,4608.96,505.83,2738.95,700.49,380.15,259.87,23.68
33,1983,4691.56,520.13,2793.36,703.37,388.18,262.46,24.07
34,1984,4776.39,534.80,2849.52,706.25,396.24,265.11,24.47
35,1985,4863.60,549.85,2907.54,709.19,404.33,267.83,24.87
36,1986,4953.38,565.24,2967.58,712.19,412.46,270.62,25.28
37,1987,5045.32,580.99,3029.31,715.22,420.61,273.49,25.70
38,1988,5138.22,597.04,3091.69,718.17,428.78,276.41,26.13
39,1989,5230.45,613.39,3153.31,720.88,436.98,279.34,26.55
40,1990,5320.82,629.99,3213.12,723.25,445.20,282.29,26.97
41,1991,5408.91,646.85,3270.77,725.26,453.44,285.21,27.39
42,1992,5494.90,663.97,3326.39,726.93,461.69,288.12,27.80
43,1993,5578.87,681.31,3380.07,728.24,469.93,291.09,28.22
44,1994,5661.09,698.83,3432.11,729.18,478.15,294.19,28.63
45,1995,5741.82,716.51,3482.72,729.74,486.35,297.46,29.05
46,1996,5821.02,734.33,3531.86,729.91,494.51,300.94,29.48
47,1997,5898.69,752.34,3579.50,729.74,502.62,304.60,29.91
48,1998,5975.30,770.60,3626.00,729.40,510.65,308.32,30.34
49,1999,6051.48,789.23,3671.84,729.13,518.55,311.96,30.78
50,2000,6127.70,808.30,3717.37,729.11,526.28,315.42,31.22
51,2001,6204.15,827.85,3762.76,729.38,533.84,318.65,31.67
52,2002,6280.85,847.88,3808.00,729.93,541.23,321.68,32.13
53,2003,6357.99,868.47,3853.12,730.74,548.47,324.60,32.59
54,2004,6435.71,889.66,3898.09,731.77,555.57,327.53,33.09
55,2005,6514.10,911.53,3942.88,732.97,562.55,330.55,33.62
56,2006,6593.23,934.08,3987.51,734.36,569.40,333.68,34.20
57,2007,6673.11,957.32,4032.01,735.93,576.14,336.90,34.81
58,2008,6753.65,981.24,4076.46,737.55,582.81,340.15,35.44
59,2009,6834.72,1005.84,4120.93,739.05,589.48,343.37,36.06
60,2010,6916.18,1031.08,4165.44,740.31,596.19,346.50,36.66
61,2011,6996.04,1056.80,4208.42,740.87,602.82,349.38,37.18
62,2012,7076.81,1083.16,4251.85,741.43,609.53,352.28,37.72
63,2013,7158.52,1110.17,4295.73,742.00,616.30,355.21,38.26
64,2014,7241.18,1137.86,4340.06,742.56,623.16,358.15,38.80
65,2015,7324.78,1166.24,4384.84,743.12,630.09,361.13,39.36