,year,urban,rural,developed,developing,communist,Jewish,Christian,Catholic,Protestant,Muslim
0,1950,743.60,1782.18,812.94,1712.84,854.19,11.297, , , , 
1,1951,767.15,1805.71,822.49,1750.36,873.14, , , , , 
2,1952,791.00,1828.29,832.46,1786.83,889.87, , , , , 
3,1953,815.80,1850.07,842.68,1823.18,905.14, , , , , 
4,1954,841.62,1871.55,853.03,1860.15,919.80, , , , , 
5,1955,868.40,1893.25,863.40,1898.26,934.35,11.8, , , , 
6,1956,896.04,1915.53,873.74,1937.83,948.98, , , , , 
7,1957,924.46,1938.58,884.05,1978.99,963.95, , , , , 
8,1958,953.91,1962.12,894.35,2021.69,979.23, , , , , 
9,1959,984.28,1986.11,904.66,2065.74,994.72, , , , , 
10,1960,1015.47,2010.53,915.03,2110.97,1010.14,12.079, , , , 
11,1961,1047.67,2035.16,925.47,2157.36,1032.92, , , , , 
12,1962,1081.32,2059.75,935.91,2205.16,1048.68, , , , , 
13,1963,1116.25,2084.93,946.22,2254.96,1065.31, , , , , 
14,1964,1152.07,2111.67,956.22,2307.52,1083.25, , , , , 
15,1965,1183.27,2145.86,965.81,2363.31,1103.43, , , , , 
16,1966,1215.25,2182.22,974.91,2422.57,1125.82, , , , , 
17,1967,1248.10,2220.42,983.56,2484.96,1151.44, , , , , 
18,1968,1281.70,2259.97,991.89,2549.78,1177.10, , , , , 
19,1969,1315.87,2300.24,1000.07,2616.04,1203.23, , , , , 
20,1970,1350.59,2340.59,1008.23,2682.94,1229.16,12.585,"1,228.62",664.988,207.609,577.225
21,1971,1385.32,2381.43,1016.41,2750.35,1254.81, , , , , 
22,1972,1421.32,2421.56,1024.56,2818.31,1280.16, , , , , 
23,1973,1458.87,2460.31,1032.63,2886.55,1304.72, , , , , 
24,1974,1497.94,2497.36,1040.51,2954.80,1360.20, , , , , 
25,1975,1535.63,2535.39,1048.13,3022.89,1410.54, , ,709.6, , 
26,1976,1574.45,2571.68,1055.48,3090.66,1463.35, , , , , 
27,1977,1613.62,2607.20,1062.59,3158.23,1483.72, , , , , 
28,1978,1656.64,2639.03,1069.52,3226.14,1516.32, , , , , 
29,1979,1703.44,2668.08,1076.33,3295.20,1538.90, , , , , 
30,1980,1751.67,2697.38,1083.08,3365.97,1558.92,12.819, ,783.7, , 
31,1981,1801.50,2726.74,1089.75,3438.48,1579.50, , , , , 
32,1982,1851.23,2757.73,1096.35,3512.61,1600.58, , , , , 
33,1983,1900.75,2790.81,1102.92,3588.65,1622.57, , , , , 
34,1984,1951.89,2824.50,1109.48,3666.91,1645.92, , , , , 
35,1985,2004.63,2858.98,1116.07,3747.53,1670.90, , ,852, , 
36,1986,2059.33,2894.05,1122.71,3830.67,1697.72, , , , , 
37,1987,2115.25,2930.07,1129.36,3915.95,1726.07, , , , , 
38,1988,2173.26,2964.96,1135.93,4002.29,1755.01, , , , , 
39,1989,2230.48,2999.97,1142.27,4088.18,1783.28, , , , , 
40,1990,2287.59,3033.22,1148.28,4172.54,1728.93,12.868, ,928.5, , 
41,1991,2345.10,3063.81,1153.93,4254.98,1690.84, , , , , 
42,1992,2401.80,3093.10,1159.26,4335.64,1354.13, , , , , 
43,1993,2458.33,3120.54,1164.28,4414.59,1314.67, , , , , 
44,1994,2514.70,3146.39,1169.01,4492.08,1316.30, , , , , 
45,1995,2571.11,3170.71,1173.48,4568.34,1329.36, , ,989.4, , 
46,1996,2628.05,3192.97,1177.70,4643.31,1341.03, , , , , 
47,1997,2685.20,3213.49,1181.70,4716.99,1357.77, , , , , 
48,1998,2742.50,3232.80,1185.56,4789.74,1367.22, , , , , 
49,1999,2800.93,3250.55,1189.41,4862.07,1376.50, , , , , 
50,2000,2860.93,3266.77,1193.36,4934.35,1385.11,13.05,"1,985.42","1,043.54",351.807,"1,291.05"
51,2001,2924.92,3279.23,1197.40,5006.75,1393.60, , , , , 
52,2002,2992.52,3288.33,1201.54,5079.31,1401.98, , , , , 
53,2003,3061.09,3296.90,1205.84,5152.15,1410.39, , , , , 
54,2004,3130.61,3305.10,1210.37,5225.34,1418.89, , , , , 
55,2005,3201.19,3312.90,1215.15,5298.95,1427.57,13.183, ,"1,115", , 
56,2006,3272.73,3320.49,1220.23,5373.00,1436.48, , , , , 
57,2007,3345.10,3328.01,1225.56,5447.55,1445.64, , , , , 
58,2008,3418.99,3334.66,1230.94,5522.71,1455.01, , , , , 
59,2009,3493.68,3341.04,1236.13,5598.59,1464.53, , , , , 
60,2010,3569.05,3347.13,1240.94,5675.25,1474.13,13.581, ,"1,196", , 
61,2011,3647.81,3348.23,,,,13.658, , , , 
62,2012,3722.96,3353.85,,,,13.753, , , , 
63,2013,3799.33,3359.19,,,,13.855, , , , 
64,2014,3876.97,3364.21,,,, ,"2,375.62","1,219.95",441.444,"1,660.73"
65,2015,3955.76,3369.02,,,,,,,,